time,epoch,split,metric,value
2026-05-20T22:21:33,16,vald,matrot,0.20844988689487612
2026-05-20T22:21:33,16,vald,torque_proxy,0.0009514031802149048
2026-05-20T22:21:33,16,train,jtr,0.05580156557341072
2026-05-20T22:21:33,16,train,loss_kl,0.12327083282072815
2026-05-20T22:21:33,16,train,loss_total,0.39346229300991065
2026-05-20T22:21:33,16,train,matrot,0.21345574054985722
2026-05-20T22:21:33,16,train,torque_proxy,0.0009341543478740194
2026-05-20T22:42:08,17,vald,jtr,0.05273339237979925
2026-05-20T22:42:08,17,vald,loss_kl,0.11404389253681502
2026-05-20T22:42:08,17,vald,loss_total,0.3772486949033085
2026-05-20T22:42:08,17,vald,matrot,0.20951224816360559
2026-05-20T22:42:08,17,vald,torque_proxy,0.0009591614269255424
2026-05-20T22:42:08,17,train,jtr,0.05574943471610184
2026-05-20T22:42:08,17,train,loss_kl,0.12324317007283365
2026-05-20T22:42:08,17,train,loss_total,0.3930546193736504
2026-05-20T22:42:08,17,train,matrot,0.21312779287366232
2026-05-20T22:42:08,17,train,torque_proxy,0.0009342219089257983
2026-05-20T23:02:43,18,vald,jtr,0.05175627865131373
2026-05-20T23:02:43,18,vald,loss_kl,0.11460450718561514
2026-05-20T23:02:43,18,vald,loss_total,0.3764384446214616
2026-05-20T23:02:43,18,vald,matrot,0.2091319771335493
2026-05-20T23:02:43,18,vald,torque_proxy,0.0009456821060804552
2026-05-20T23:02:43,18,train,jtr,0.05559935203449792
2026-05-20T23:02:43,18,train,loss_kl,0.12317509370372556
2026-05-20T23:02:43,18,train,loss_total,0.39248382644645285
2026-05-20T23:02:43,18,train,matrot,0.21277484628343585
2026-05-20T23:02:43,18,train,torque_proxy,0.0009345345237120246
2026-05-20T23:23:19,19,vald,jtr,0.049949103991316836
2026-05-20T23:23:19,19,vald,loss_kl,0.1165031620065463
2026-05-20T23:23:19,19,vald,loss_total,0.37198826710585087
2026-05-20T23:23:19,19,vald,matrot,0.20458817062985543
2026-05-20T23:23:19,19,vald,torque_proxy,0.0009478306296698869
2026-05-20T23:23:19,19,train,jtr,0.05369265367125737
2026-05-20T23:23:19,19,train,loss_kl,0.12364945909402524
2026-05-20T23:23:19,19,train,loss_total,0.3866199338046708
2026-05-20T23:23:19,19,train,matrot,0.20833831580774187
2026-05-20T23:23:19,19,train,torque_proxy,0.0009395052802678275
2026-05-20T23:43:56,20,vald,jtr,0.0498331226417089
2026-05-20T23:43:56,20,vald,loss_kl,0.11606768031506463
2026-05-20T23:43:56,20,vald,loss_total,0.3713523544054375
2026-05-20T23:43:56,20,vald,matrot,0.20449953228097525
2026-05-20T23:43:56,20,vald,torque_proxy,0.0009520193808971363
2026-05-20T23:43:56,20,train,jtr,0.05341854285824511
2026-05-20T23:43:56,20,train,loss_kl,0.12413210455907497
2026-05-20T23:43:56,20,train,loss_total,0.38589785216990247
2026-05-20T23:43:56,20,train,matrot,0.20740546974574028
2026-05-20T23:43:56,20,train,torque_proxy,0.0009417351799451942
2026-05-21T00:04:31,21,vald,jtr,0.048785340822475674
2026-05-21T00:04:31,21,vald,loss_kl,0.11905398845066645
2026-05-21T00:04:31,21,vald,loss_total,0.3704991918711367
2026-05-21T00:04:31,21,vald,matrot,0.20170768630620292
2026-05-21T00:04:31,21,vald,torque_proxy,0.0009521758233934797
2026-05-21T00:04:31,21,train,jtr,0.05329333507531398
2026-05-21T00:04:31,21,train,loss_kl,0.12434798650815182
2026-05-21T00:04:31,21,train,loss_total,0.3857583206105754
2026-05-21T00:04:31,21,train,matrot,0.20717384501563701
2026-05-21T00:04:31,21,train,torque_proxy,0.0009431540663996161
2026-05-21T00:25:08,22,vald,jtr,0.04939211011380508
2026-05-21T00:25:08,22,vald,loss_kl,0.11777516803230795
2026-05-21T00:25:08,22,vald,loss_total,0.37095913420433035
2026-05-21T00:25:08,22,vald,matrot,0.20284002630966208
2026-05-21T00:25:08,22,vald,torque_proxy,0.0009518296692997876
2026-05-21T00:25:08,22,train,jtr,0.053252527835283454
2026-05-21T00:25:08,22,train,loss_kl,0.1243617227238927
2026-05-21T00:25:08,22,train,loss_total,0.3855710148981602
2026-05-21T00:25:08,22,train,matrot,0.2070119677806332
2026-05-21T00:25:08,22,train,torque_proxy,0.0009447964463843369
2026-05-21T00:45:49,23,vald,jtr,0.04916406495241851
2026-05-21T00:45:49,23,vald,loss_kl,0.1177186328786909
2026-05-21T00:45:49,23,vald,loss_total,0.3706392172565632
2026-05-21T00:45:49,23,vald,matrot,0.20280184867049872
2026-05-21T00:45:49,23,vald,torque_proxy,0.0009546706192335824
2026-05-21T00:45:49,23,train,jtr,0.05318464153074287
2026-05-21T00:45:49,23,train,loss_kl,0.12438844659003567
2026-05-21T00:45:49,23,train,loss_total,0.38532318038302343
2026-05-21T00:45:49,23,train,matrot,0.20680486298494527
2026-05-21T00:45:49,23,train,torque_proxy,0.000945229371754345
2026-05-21T01:06:26,24,vald,jtr,0.04899183596276063
2026-05-21T01:06:26,24,vald,loss_kl,0.11811669537016017
2026-05-21T01:06:26,24,vald,loss_total,0.3702643403986576
2026-05-21T01:06:26,24,vald,matrot,0.20220061817487045
2026-05-21T01:06:26,24,vald,torque_proxy,0.000955190733693531
2026-05-21T01:06:26,24,train,jtr,0.05316220163275259
2026-05-21T01:06:26,24,train,loss_kl,0.1244720727164894
2026-05-21T01:06:26,24,train,loss_total,0.38525664886912786
2026-05-21T01:06:26,24,train,matrot,0.20667707913635083
2026-05-21T01:06:26,24,train,torque_proxy,0.0009452955024188324
2026-05-21T01:27:01,25,vald,jtr,0.04974649361956197
2026-05-21T01:27:01,25,vald,loss_kl,0.11640370868201506
2026-05-21T01:27:01,25,vald,loss_total,0.3711782589816452
2026-05-21T01:27:01,25,vald,matrot,0.20406994180557578
2026-05-21T01:27:01,25,vald,torque_proxy,0.0009581149744863842
2026-05-21T01:27:01,25,train,jtr,0.05312962151858114
2026-05-21T01:27:01,25,train,loss_kl,0.12454103911755976
2026-05-21T01:27:01,25,train,loss_total,0.3852006204768449
2026-05-21T01:27:01,25,train,matrot,0.20658313217839241
2026-05-21T01:27:01,25,train,torque_proxy,0.0009468276348192802
2026-05-21T01:47:38,26,vald,jtr,0.048977590333876955
2026-05-21T01:47:38,26,vald,loss_kl,0.11819149201043817
2026-05-21T01:47:38,26,vald,loss_total,0.37015422328948533
2026-05-21T01:47:38,26,vald,matrot,0.20203039132044848
2026-05-21T01:47:38,26,vald,torque_proxy,0.0009547495512896891
2026-05-21T01:47:38,26,train,jtr,0.05310146070922381
2026-05-21T01:47:38,26,train,loss_kl,0.12451131910245025
2026-05-21T01:47:38,26,train,loss_total,0.385093802797797
2026-05-21T01:47:38,26,train,matrot,0.2065335872275379
2026-05-21T01:47:38,26,train,torque_proxy,0.0009474358096856443
2026-05-21T02:08:14,27,vald,jtr,0.04888356426066259
2026-05-21T02:08:14,27,vald,loss_kl,0.11883025217711815
2026-05-21T02:08:14,27,vald,loss_total,0.36997028504964824
2026-05-21T02:08:14,27,vald,matrot,0.2013001318869496
2026-05-21T02:08:14,27,vald,torque_proxy,0.0009563364429510085
2026-05-21T02:08:14,27,train,jtr,0.053117127969696226
2026-05-21T02:08:14,27,train,loss_kl,0.12453205406988863
2026-05-21T02:08:14,27,train,loss_total,0.3850202428210151
2026-05-21T02:08:14,27,train,matrot,0.20642316680940997
